iter	Passed	Remaining
212	508	1880
213	510	1874
214	512	1871
215	514	1866
216	515	1861
217	517	1856
218	518	1850
219	520	1844
220	521	1839
221	523	1835
222	525	1830
223	528	1829
224	530	1825
225	531	1820
226	533	1815
227	535	1811
228	536	1806
229	538	1801
230	539	1796
231	543	1799
232	545	1794
233	547	1790
234	548	1786
235	550	1780
236	551	1776
237	553	1772
238	555	1767
239	557	1764
240	559	1763
241	561	1760
242	563	1756
243	566	1754
244	568	1750
245	569	1746
246	575	1752
247	576	1749
248	578	1745
249	580	1740
250	582	1737
251	583	1732
252	585	1729
253	588	1728
254	590	1725
255	592	1720
256	594	1719
257	596	1715
258	598	1711
259	599	1707
260	602	1704
261	604	1703
262	606	1700
263	608	1696
264	610	1692
265	612	1688
266	614	1687
267	616	1683
268	623	1694
269	625	1691
270	627	1688
271	630	1686
272	633	1688
273	636	1685
274	637	1681
275	639	1678
276	641	1674
277	643	1670
278	645	1668
279	649	1670
280	651	1666
281	652	1662
282	654	1658
283	656	1654
284	658	1651
285	659	1646
286	661	1643
287	663	1641
288	666	1639
289	668	1636
290	670	1633
291	672	1629
292	673	1625
293	675	1622
294	679	1622
295	681	1620
296	683	1617
297	684	1613
298	686	1609
299	688	1606
300	690	1603
301	692	1601
302	694	1598
303	696	1595
304	698	1592
305	700	1588
306	702	1585
307	703	1581
308	705	1577
309	708	1575
310	710	1573
311	711	1569
312	713	1566
313	715	1563
314	717	1560
315	719	1557
316	721	1554
317	723	1551
318	725	1548
319	727	1545
320	729	1542
321	731	1539
322	733	1536
323	735	1533
324	737	1532
325	739	1529
326	741	1526
327	743	1523
328	745	1520
329	747	1517
330	748	1513
331	750	1510
332	753	1510
333	755	1506
334	757	1503
335	759	1500
336	760	1496
337	762	1493
338	764	1489
339	766	1487
340	768	1485
341	769	1481
342	771	1478
343	773	1474
344	775	1471
345	777	1468
346	778	1465
347	780	1461
348	782	1459
349	784	1456
350	785	1453
351	787	1449
352	789	1446
353	791	1443
354	792	1440
355	794	1436
356	796	1434
357	798	1432
358	800	1429
359	802	1426
360	803	1422
361	805	1419
362	806	1415
363	808	1412
364	810	1410
365	815	1413
366	817	1409
367	819	1406
368	820	1403
369	822	1399
370	823	1396
371	825	1393
372	827	1391
373	829	1388
374	831	1385
375	833	1382
376	834	1379
377	836	1375
378	837	1372
379	839	1369
380	842	1368
381	844	1365
382	845	1362
383	847	1359
384	848	1356
385	850	1352
386	851	1349
387	853	1346
388	854	1342
389	856	1340
390	858	1337
391	859	1333
392	861	1330
393	863	1327
394	864	1324
395	865	1320
396	867	1317
397	868	1314
398	870	1311
399	872	1308
400	874	1305
401	875	1302
402	876	1298
403	878	1295
404	879	1292
405	880	1288
406	882	1285
407	883	1282
408	884	1278
409	886	1276
410	888	1273
411	890	1270
412	891	1267
413	893	1264
414	894	1260
415	895	1257
416	897	1254
417	898	1251
418	900	1248
419	901	1245
420	903	1242
421	904	1238
422	906	1235
423	907	1232
424	909	1229
425	910	1226
426	911	1223
427	913	1220
428	914	1217
429	916	1214
430	918	1212
431	919	1208
432	920	1205
433	922	1202
434	923	1199
435	925	1196
436	926	1194
437	928	1190
438	929	1188
439	931	1185
440	933	1182
441	934	1179
442	936	1176
443	937	1174
444	939	1171
445	940	1168
446	942	1165
447	944	1163
448	945	1160
449	947	1157
450	948	1154
451	950	1151
452	951	1149
453	953	1146
454	954	1143
